driverRef_x,driverRef_y,connection
galica,pescarolo,constructor
jones,andersson,constructor
andersson,pescarolo,constructor
jones,takahara,constructor
jones,hunt,constructor
jones,palm,constructor
hunt,palm,constructor
jones,brise,constructor
manfred_winkelhock,salazar,constructor
lauda,reutemann,constructor
lauda,regazzoni,constructor
reutemann,regazzoni,constructor
lauda,beltoise,constructor
regazzoni,beltoise,constructor
lauda,gethin,constructor
beltoise,gethin,constructor
lauda,peterson,constructor
lauda,pescarolo,constructor
peterson,pescarolo,constructor
lauda,stommelen,constructor
lauda,pace,constructor
peterson,stommelen,constructor
peterson,pace,constructor
stommelen,pace,constructor
stommelen,pescarolo,constructor
pace,pescarolo,constructor
lauda,beuttler,constructor
peterson,beuttler,constructor
stommelen,beuttler,constructor
pace,beuttler,constructor
pescarolo,beuttler,constructor
lauda,barber,constructor
peterson,barber,constructor
pace,barber,constructor
pescarolo,barber,constructor
beuttler,barber,constructor
baldi,henton,constructor
watson,south,constructor
watson,pace,constructor
watson,stuck,constructor
watson,francia,constructor
francia,stuck,constructor
watson,hayje,constructor
watson,morgan,constructor
watson,peterson,constructor
watson,reutemann,constructor
watson,robarts,constructor
reutemann,robarts,constructor
watson,opel,constructor
reutemann,opel,constructor
watson,pilette,constructor
watson,larrousse,constructor
reutemann,pilette,constructor
reutemann,larrousse,constructor
pilette,opel,constructor
pilette,larrousse,constructor
opel,larrousse,constructor
reutemann,pace,constructor
pace,opel,constructor
pace,larrousse,constructor
watson,lombardi,constructor
reutemann,lombardi,constructor
pace,lombardi,constructor
watson,koinigg,constructor
reutemann,koinigg,constructor
pace,koinigg,constructor
watson,facetti,constructor
reutemann,facetti,constructor
pace,facetti,constructor
watson,ashley,constructor
watson,wietzes,constructor
reutemann,ashley,constructor
reutemann,wietzes,constructor
pace,ashley,constructor
pace,wietzes,constructor
ashley,wietzes,constructor
watson,wilson_fittipaldi,constructor
watson,adamich,constructor
reutemann,wilson_fittipaldi,constructor
reutemann,adamich,constructor
wilson_fittipaldi,adamich,constructor
cecotto,guerrero,constructor
thackwell,jarier,constructor
thackwell,daly,constructor
jarier,daly,constructor
salazar,daly,constructor
salazar,gabbiani,constructor
salazar,guerra,constructor
gabbiani,guerra,constructor
boesel,jarier,constructor
boesel,mass,constructor
boesel,villota,constructor
boesel,keegan,constructor
jarier,paletti,constructor
jarier,gabbiani,constructor
jarier,pironi,constructor
pironi,daly,constructor
jarier,mass,constructor
jarier,mario_andretti,constructor
jarier,rebaque,constructor
mario_andretti,rebaque,constructor
jarier,heyer,constructor
jarier,binder,constructor
jarier,pryce,constructor
jarier,wilds,constructor
pryce,wilds,constructor
jarier,revson,constructor
jarier,redman,constructor
jarier,roos,constructor
jarier,beuttler,constructor
jarier,hunt,constructor
jarier,purley,constructor
hunt,purley,constructor
hunt,beuttler,constructor
