driverRef_x,driverRef_y,connection
watson,lombardi,constructor
reutemann,lombardi,constructor
pace,lombardi,constructor
watson,koinigg,constructor
reutemann,koinigg,constructor
pace,koinigg,constructor
watson,facetti,constructor
reutemann,facetti,constructor
pace,facetti,constructor
watson,ashley,constructor
watson,wietzes,constructor
reutemann,ashley,constructor
reutemann,wietzes,constructor
pace,ashley,constructor
pace,wietzes,constructor
ashley,wietzes,constructor
watson,wilson_fittipaldi,constructor
watson,adamich,constructor
reutemann,wilson_fittipaldi,constructor
reutemann,adamich,constructor
wilson_fittipaldi,adamich,constructor
cecotto,guerrero,constructor
thackwell,jarier,constructor
thackwell,daly,constructor
jarier,daly,constructor
salazar,daly,constructor
salazar,gabbiani,constructor
salazar,guerra,constructor
gabbiani,guerra,constructor
boesel,jarier,constructor
boesel,mass,constructor
boesel,villota,constructor
boesel,keegan,constructor
jarier,paletti,constructor
jarier,gabbiani,constructor
jarier,pironi,constructor
pironi,daly,constructor
jarier,mass,constructor
jarier,mario_andretti,constructor
jarier,rebaque,constructor
mario_andretti,rebaque,constructor
jarier,heyer,constructor
jarier,binder,constructor
jarier,pryce,constructor
jarier,wilds,constructor
pryce,wilds,constructor
jarier,revson,constructor
jarier,redman,constructor
jarier,roos,constructor
jarier,beuttler,constructor
jarier,hunt,constructor
jarier,purley,constructor
hunt,purley,constructor
hunt,beuttler,constructor
purley,beuttler,constructor
jarier,wisell,constructor
wisell,beuttler,constructor
hunt,wisell,constructor
jarier,peterson,constructor
jarier,pescarolo,constructor
jarier,galli,constructor
peterson,galli,constructor
pescarolo,galli,constructor
beuttler,galli,constructor
reutemann,mario_andretti,constructor
reutemann,rebaque,constructor
reutemann,gilles_villeneuve,constructor
reutemann,stommelen,constructor
stommelen,wilson_fittipaldi,constructor
reutemann,hill,constructor
hill,wilson_fittipaldi,constructor
mass,colombo,constructor
mass,binder,constructor
mass,bleekemolen,constructor
mass,gilles_villeneuve,constructor
gilles_villeneuve,villota,constructor
gilles_villeneuve,hunt,constructor
gilles_villeneuve,lunger,constructor
mass,emerson_fittipaldi,constructor
mass,charlton,constructor
emerson_fittipaldi,charlton,constructor
mass,pace,constructor
mass,kinnunen,constructor
pace,kinnunen,constructor
mass,dolhem,constructor
kinnunen,dolhem,constructor
mass,bell,constructor
kinnunen,bell,constructor
mass,hulme,constructor
emerson_fittipaldi,hulme,constructor
mass,hailwood,constructor
pace,hailwood,constructor
pironi,gilles_villeneuve,constructor
pironi,lees,constructor
pironi,depailler,constructor
gilles_villeneuve,scheckter,constructor
henton,ribeiro,constructor
henton,lunger,constructor
ribeiro,lunger,constructor
henton,merzario,constructor
henton,ian_scheckter,constructor
henton,hayje,constructor
henton,neve,constructor
merzario,ribeiro,constructor
merzario,lunger,constructor
merzario,ian_scheckter,constructor
merzario,hayje,constructor
merzario,neve,constructor
ribeiro,ian_scheckter,constructor
ribeiro,hayje,constructor
ribeiro,neve,constructor
lunger,ian_scheckter,constructor
lunger,hayje,constructor
lunger,neve,constructor
ian_scheckter,hayje,constructor
ian_scheckter,neve,constructor
hayje,neve,constructor
henton,kozarowitzky,constructor
henton,sutcliffe,constructor
merzario,kozarowitzky,constructor
merzario,sutcliffe,constructor
ribeiro,kozarowitzky,constructor
ribeiro,sutcliffe,constructor
ian_scheckter,kozarowitzky,constructor
ian_scheckter,sutcliffe,constructor
neve,kozarowitzky,constructor
neve,sutcliffe,constructor
kozarowitzky,sutcliffe,constructor
henton,peterson,constructor
henton,crawford,constructor
peterson,crawford,constructor
daly,lees,constructor
daly,ertl,constructor
daly,lunger,constructor
mario_andretti,peterson,constructor
rebaque,peterson,constructor
mario_andretti,nilsson,constructor
mario_andretti,regazzoni,constructor
mario_andretti,ickx,constructor
regazzoni,ickx,constructor
mario_andretti,amon,constructor
mario_andretti,stewart,constructor
mario_andretti,siffert,constructor
mario_andretti,gavin,constructor
amon,stewart,constructor
amon,siffert,constructor
amon,gavin,constructor
stewart,siffert,constructor
stewart,gavin,constructor
siffert,gavin,constructor
mario_andretti,cevert,constructor
peterson,amon,constructor
peterson,cevert,constructor
peterson,stewart,constructor
peterson,siffert,constructor
amon,cevert,constructor
cevert,stewart,constructor
cevert,siffert,constructor
mario_andretti,hahne,constructor
peterson,hahne,constructor
amon,hahne,constructor
cevert,hahne,constructor
stewart,hahne,constructor
siffert,hahne,constructor
mario_andretti,hill,constructor
mario_andretti,love,constructor
mario_andretti,rindt,constructor
hill,love,constructor
hill,siffert,constructor
hill,rindt,constructor
love,siffert,constructor
love,rindt,constructor
siffert,rindt,constructor
mario_andretti,bonnier,constructor
hill,bonnier,constructor
siffert,bonnier,constructor
bonnier,rindt,constructor
mario_andretti,lovely,constructor
hill,lovely,constructor
siffert,lovely,constructor
lovely,rindt,constructor
mario_andretti,oliver,constructor
oliver,hill,constructor
oliver,siffert,constructor
villota,kessel,constructor
lees,kennedy,constructor
keegan,brambilla,constructor
keegan,ertl,constructor
keegan,rebaque,constructor
rebaque,ertl,constructor
keegan,ashley,constructor
rebaque,ashley,constructor
gabbiani,francia,constructor
jabouille,depailler,constructor
jabouille,scheckter,constructor
depailler,scheckter,constructor
jabouille,merzario,constructor
jabouille,kinnunen,constructor
